artist,tags
Uncle Earl,bluegrass | folk | country | americana | old-timey | female vocalists | banjo | colorado | alt-country | girls and guitars
Steep Canyon Rangers,bluegrass | country | americana | usa | asheville | bands i've seen live | mountain | location:us:nc:brevard | brevard | north america
Doc Watson,bluegrass | folk | country | americana | acoustic | all | guitar | north carolina | blues | traditional folk
Sierra Hull,bluegrass | country | folk | female vocalists | mandolin | sierra hull | alt-country | vocal | singer-songwriter | american
Earl Scruggs,bluegrass | country | banjo | all | folk | country blues | american | americana | gospel | usa
NewTown,americana | bluegrass | usa | american
Claire Lynch,bluegrass | country | female vocalists | female singers | traditional bluegrass | all | folk | classic country | cowhat bg | female voices
Andrew Marlin,bluegrass | usa | progressive bluegrass
Darrell Scott,americana | singer-songwriter | bluegrass | country | folk | alt-country | all | banjo | united states | usa
Adam Steffey,bluegrass | mandolin | under 2000 listeners | lesser known yet streamable artists | progressive bluegrass | carrie underwood | usa | vince gill | dolly parton | grammy winner
Della Mae,all | bluegrass | alt-country | country | progressive bluegrass | female vocalist | folk | americana | girl group | usa
Chris Thile,bluegrass | folk | mandolin | acoustic | singer-songwriter | americana | american | progressive bluegrass | alt-country | usa
Blue Moon Rising,bluegrass | country | americana | alt-country | blue moon rising | usa | worship
Andy McKee,acoustic | instrumental | guitar | guitar virtuoso | fingerstyle | acoustic guitar | folk | beautiful | american | chillout
Steve Ivey,bluegrass | christian country | christian bluegrass
I'm With Her,folk | acoustic | newgrass | americana | female vocalists | bluegrass | singer-songwriter | usa | american | violin
Appalachian Express,bluegrass | folk | all | usa | bluegrass gospel | spotify | lesser known yet streamable artists
Songs From The Road Band,bluegrass | country | americana | usa
Aoife O'Donovan,folk | singer-songwriter | bluegrass | female vocalists | acoustic | americana | usa | american | lastfmsc | boston
Taarka,americana | folk | bluegrass | usa | paul russell and the breadcrumb trail
Alison Brown,bluegrass | banjo | jazz | americana | post hitching post | american | sexy sexy sexy | colorful | folk | try
The Isaacs,bluegrass | gospel | southern gospel | bluegrass gospel | isaacs | praise and worship | christian | isaacs     southern gospel | bluegrass-gospel | all
Appalachian Road Show,bluegrass | banjo | traditional bluegrass | usa | old time | appalachian
Bryan Sutton,bluegrass | guitar | country | acoustic | north carolina | banjo | american | mandolin | bluegrass guitar | all
The Osborne Brothers,bluegrass | country | classic country | banjo | all | old country | americana | mandolin | the osborne brothers | american
Old & In The Way,bluegrass | country | folk | jam | jerry garcia | acoustic | american | 70's | traditional | all
Steve Martin,comedy | bluegrass | stand-up comedy | stand-up | banjo | funny | country | spoken word | folk | pop
Bill Monroe,bluegrass | country | folk | americana | traditional country | 11 | all | bill monroe | mandolin | american
Stuart Duncan,bluegrass | usa | fiddle | american | united states | cowhat fav
Bill Emerson,bluegrass | country | folk | americana | banjo | instrumental | usa | traditional bluegrass | bluegrass virtuoso
Norman Blake,bluegrass | folk | country | singer-songwriter | americana | tennessee | progressive bluegrass | norman blake | chattanooga | traditional bluegrass
The Waybacks,bluegrass | folk | newgrass | alt-country | otterly alive | usa | texas | merlefest | sxsw 2007
Kruger Brothers,bluegrass | switzerland | country | folk | radio paradise | appalachian | banjo | radioparadise | mountain music
Flatt Lonesome,bluegrass | country | americana | folk | usa
Elephant Revival,folk | bluegrass | acoustic | indie | roots | female vocalists | celtic | colorado | male vocalists | usa
The Seldom Scene,bluegrass | country | progressive bluegrass | folk-country | contemporary bluegrass | all | american | the seldom scene | seldom scene | organic
Jim Vancleve,bluegrass | american
Mile Twelve,bluegrass | country | americana | folk | banjo | american
Mountain Heart,bluegrass | americana | country | folk | banjo | mountain | usa
Fireside Collective,bluegrass | usa
Keller Williams with The Travelin' McCourys,bluegrass | usa
Newfound Road,bluegrass | country | usa | lesser known yet streamable artists | bluegrass-country | under 2000 listeners | discoverockult
The Lonely Heartstring Band,bluegrass | american
Bobby Osborne,bluegrass | country | mandolin | all | 1726 | spotify
Don Reno,bluegrass | country | banjo | all | instrumental | usa | folk | 1726 | traditional bluegrass | spotify
The Rubber Knife Gang,americana | bluegrass | under 2000 listeners | usa
The Lonesome Trio,americana | bluegrass | usa
Pert Near Sandstone,bluegrass | americana | minnesota | alt country | alt-country | all | usa | alternative country
New Grass Revival,bluegrass | newgrass | acoustic | country | americana | progressive bluegrass | folk | banjo | guitar | american
Grandpa Jones,bluegrass | country | banjo | all | classic country | singer-songwriter | folk | usa | american | comedy
Easter Brothers,gospel | bluegrass | usa | lesser known yet streamable artists | under 2000 listeners
Tommy Emmanuel,acoustic | guitar | acoustic guitar | fingerpicking guitar | solo guitar | instrumental | guitar virtuoso | fingerstyle | australian | blues
Mike Marshall,mandolin | bluegrass | jazz | progressive bluegrass | contemporary classical | guitar | folk | fucking awesome | classical | american
Missy Raines,americana | bluegrass | jazz | folk | instrumental | usa | american | north american | bass | try
Bruce Molsky,fiddle | country | folk | bluegrass | old time | old-timey | banjo | bruce molsky | appalacian | celtic connections 2009
IIIrd Tyme Out,bluegrass | country | folk | rock | 90s | american | southern rock | bluegrass gospel | traditional bluegrass | all
Doc & Merle Watson,bluegrass | country | folk | acoustic | flatpicking | americana | blues | all | doc watson | usa
The Way Down Wanderers,alt-country | folk | americana | american
The Show Ponies,bluegrass | americana | love at first listen | usa
Doyle Lawson & Quicksilver,bluegrass | country | bluegrass gospel | folk | doyle lawson  quicksilver | americana | gospel | inspirational | usa | christian
The Carter Family,country | the | folk | of | bluegrass | book | 1 | americana | kings | 2
The Louvin Brothers,country | bluegrass | classic country | gospel | close harmony | americana | american | 50s | traditional bluegrass | spotify
Mike Barnett,american | folk | instrumental | violin | north american | try
Phoebe Hunt,
Scott Nygaard,bluegrass | usa | ruffiosaid
The Doc Watson Family,bluegrass | country | old-timey | folk | acoustic | all | gospel | blues | usa | american
Nashville Country Chorale,
Paul Williams,soft rock | singer-songwriter | pop | soundtrack | rock | pop rock | soul | am pop | adult contemporary | nz
Kenny & Amanda Smith Band,bluegrass | country
The String Cheese Incident,jam | jam band | bluegrass | rock | psychedelic | psychedelic rock | colorado | alternative | american | string cheese incident
Dwight McCall,bluegrass | country | all | usa | progressive bluegrass | spotify | lesser known yet streamable artists | under 2000 listeners
Watkins Family Hour,bluegrass | country | americana | folk | los angeles | podcast | usa
Bobby Hicks,bluegrass | country | rockabilly | usa | fiddle
The Bluegrass Cardinals,bluegrass | all | country | gospel | americana | los angeles | usa | old country | world | christian
Blueridge Mountain Bluegrass Band,bluegrass | american
Alan Bibey,bluegrass | americana | mandolin | usa
Mike Auldridge,bluegrass | guitar | dobro | folk | acoustic | all | usa | scarebear | virally yours | dc
Sam Bush,bluegrass | mandolin | newgrass | folk | country | all | americana | jam | american | audience recording allowed
Ben Sollee,folk | singer-songwriter | cello | indie | acoustic | male vocalists | american | kentucky | usa | bonnaroo
The Greencards,bluegrass | americana | country | folk | alt-country | australian | american | post hitching post | australia | acl
High Fidelity,bluegrass | funk | house | usa | us | united states | american | traditional bluegrass
The Monroe Brothers,bluegrass | country | all | folk | traditional bluegrass | traditional country | gospel | old timey | usa | hillbilly
Del McCoury,bluegrass | country | americana | folk | del mccoury | guitar | north carolina | classic country | mandolin | spotify
David Grier,bluegrass | acoustic guitar | country | guitar | newgrass | americana | instrumental | acoustic | alt-country | folk
Laurie Lewis,bluegrass | folk | female voices | laurie lewis | cowhat bg | cowhat aco | country | female vocalists | usa | female artists
Circus No. 9,bluegrass | country | progressive bluegrass | usa
Chatham County Line,bluegrass | alt-country | americana | country | folk | north carolina | male vocalists | sxsw 2006 | lowlands 2007 | usa
Longview,indie | rock | britpop | alternative | british | indie rock | alternative rock | post-britpop | shoegaze | pop-rock
Twisted Pine,folk | bluegrass | country | indie | female vocalists | americana | american | progressive bluegrass | newgrass | under 100 listeners
The Railsplitters,bluegrass | folk | american | rock | alt-country | americana | garage rock | folk rock
Old Salt Union,usa | rock | americana | bluegrass
South Austin Jug Band,bluegrass | austin | americana | texas | alt-country | country | american | progressive bluegrass | new grass | folk
Mac Wiseman,bluegrass | country | all | singer-songwriter | folk | mac wiseman | usa | american | virginia | lesser known yet streamable artists
Acoustic Syndicate,bluegrass | folk rock | north carolina | jam band | bluegrass artist | country | jazz | americana | usa | folk
Donna Stoneman,bluegrass | country | old country | mandolin | spotify | all | lesser known yet streamable artists | 1726
Bassnectar,dubstep | electronic | breakbeat | glitch | breaks | experimental | bass | electronica | hip-hop | glitch-hop
Noisia,neurofunk | drum and bass | techstep | mix | halftime | dnb | drum n bass | electronic | dubstep | electro house
Evil Nine,breakbeat | electronic | breaks | hip-hop | electronica | electro | british | nu skool breaks | dance | evil nine
Datsik,dubstep | filthstep | electronic | bass | heavy | brostep | basssss | canadian | grime | canada
The Prodigy,electronic | techno | industrial | dance | electronica | big beat | breakbeat | rave | british | drum and bass
The Chemical Brothers,electronic | big beat | dance | techno | electronica | british | breakbeat | house | electro | trip-hop
Hybrid,electronic | breakbeat | trance | breaks | electronica | progressive trance | progressive breaks | technical death metal | progressive house | british
The Crystal Method,electronic | big beat | breakbeat | techno | electronica | dance | american | trip-hop | trance | breaks
Freestylers,breakbeat | electronic | breaks | dance | electronica | big beat | drum and bass | british | hip-hop | electro
Orbital,electronic | techno | ambient | idm | electronica | british | ambient techno | trance | chillout | breakbeat
ILS,breakbeat | electronic | drum and bass | breaks | electronica | drum n bass | british | nu skool breaks | black metal | progressive breaks
Far Too Loud,breakbeat | breaks | electro breaks | electronic | glitch | electro house | electro | psybreaks | drumstep | british
Deekline,breakbeat | breaks | jungle | funky breaks | booty breaks | drum and bass | electronic | uk | rave | london
Dub Pistols,dub | electronic | breakbeat | hip-hop | electronica | british | big beat | ska | uk | trip-hop
Fluke,electronic | techno | big beat | dance | electronica | british | breakbeat | house | trip-hop | ambient
Timo Maas,electronic | house | dance | trance | electronica | german | techno | germany | progressive house | breakbeat
Overseer,electronic | big beat | breakbeat | industrial | electronica | british | techno | electro | alternative | hip-hop
CIRRUS,big beat | electronic | breakbeat | electronica | industrial | american | techno | usa | funky breaks | trip-hop
Bombo Rosa,breaks | breakbeat
Apollo 440,electronic | big beat | techno | dance | electronica | british | breakbeat | drum and bass | alternative | rock
Propellerheads,big beat | electronic | trip-hop | dance | electronica | breakbeat | british | techno | trip hop | electro
Ed Solo,dubstep | electronic | drum and bass | dub | bass | drum n bass | breaks | jungle | hip hop | british
Future Funk Squad feat. Mojo,
Keith Mackenzie,breakbeat | breaks | spotify | all
Rhythm On The Loose,house | 90s dance | dance | 90s | spotify | rave | hardcore | uk | all | electronic
Force Mass Motion,hardcore techno | breakbeat | gabber | breaks | hardcore | rave | techno | house | old school hardcore | trance
Mekon,breakbeat | electronic | big beat | techno | uk | dance | house | downtempo | electro | hip-hop
General Midi,breakbeat | breaks | progressive breaks | electronic | electro | british | progressive | house | uk | dynamique
Amb,breakbeat | electronic | breaks | juggalotus | axe muder boyz | glitch hop | horrorcore | psychopathic | wicked shit | mmfwcl
Pronobozo,breakbeat | electronic | big beat | electro | all | lesser known yet streamable artists | canadian | hak5 | industrial | breaks
Lunatic Calm,electronic | big beat | industrial | electronica | breakbeat | rock | trip-hop | british | downtempo | techno
Aphrodite,drum and bass | jungle | electronic | drum n bass | dnb | jump up | british | drum'n'bass | breakbeat | jump-up
Adam Freeland,breakbeat | electronic | breaks | dance | electronica | house | electro | nu skool breaks | british | techno
Colombo,breaks | breakbeat | electronic | dubstep | classic breakbeat | big beat | old skool | booty breaks | progressive breaks | techno
Plump DJs,breakbeat | breaks | electronic | dance | electronica | big beat | nu skool breaks | electro | electro breaks | british
Audio Bullys,electronic | house | hip-hop | dance | electronica | british | breakbeat | electro | uk | alternative
DJ Icey,breakbeat | breaks | electronic | electronica | trance | florida breaks | funky breaks | miami bass | big beat | breakbeats
Tony Faline,breaks | breakbeat | florida breaks | electronic | miami bass | tony faline | florida breakbeats | shauns radio | spotify
Stanton Warriors,breakbeat | breaks | electronic | nu skool breaks | dance | electro | british | nu breaks | stanton warriors | big beat
Roni Size,drum and bass | jungle | electronic | drum n bass | dnb | british | electronica | breakbeat | uk | bristol
DJ Fixx,breakbeat | breaks | florida breaks | funky | electronic | miami bass | funky breaks | best breaks around
A.Skillz,funk | breaks | oldskool | breakbeat | hip hop | hip-hop | turntablism | nu skool breaks | funky breaks | lieblingsinterpreten
Freddy Fresh,big beat | breakbeat | electronic | electronica | beats | breaks | electro | acid house | house | techno
Aquasky Vs Masterblaster,breakbeat | breaks | drum and bass | electronic | dnb | new school breaks | electronica | darkstep | rave | electro
Rabbit In The Moon,electronic | progressive house | breakbeat | techno | electronica | breaks | rabbit in the moon | progressive breaks | dance | leftfield
The Breakfastaz,breakbeat | breaks | triphop | drum and bass | dnb | british | electronic | nu breaks | downtempo | electro
Baymont Bross,breaks | breakbeat | spanish | all
Krafty Kuts,breakbeat | breaks | electronic | funky breaks | electronica | hip-hop | nu skool breaks | nu school breaks | funk | krafty kuts
DJ Baby Anne,breakbeat | electronic | florida breaks | breaks | electronica | trance | dance | dj baby anne | frauen und technik | dj
Ctrl-Z,nu skool breaks | breaks
Lo Fidelity Allstars,big beat | electronic | breakbeat | trip-hop | electronica | british | funk | brighton | breaks | rock
Deekline & Wizard,breakbeat | breaks | electronic | nu skool breaks | dance | electro | funky breaks | booty breaks | booty | british
Future Funk Squad,breakbeat | breaks | electronic | nu skool breaks | electronica | electro | hip-hop | dubstep | big beat | british
Beat Assassins,breaks | breakbeat | dark | british | breakz | electronica | electronic | ncenigma | darkechild | darkchild
Yo Speed,united kingdom | breaks
Shade k,breaks | breakbeat
Layo & Bushwacka!,house | electronic | breakbeat | dance | electronica | techno | breaks | tech house | chillout | downtempo
Malente,breakbeat | electronic | funk | breaks | electro funky | electro | house | electrofunk | dance | live
Rennie Pilgrem,breakbeat | breaks | nu skool breaks | nu-breaks | lounge | electronic | trance | big beat | electronica | british
Huda Hudia,breakbeat | breaks | miami bass | florida breaks | big beat | electro | electronic | huda hudia
DJ Quest,breakbeat | breaks | nu skool breaks | bass | underground hip-hop | turntablism | new school breaks | scratch
Aquasky,drum and bass | breakbeat | breaks | electronic | dnb | jungle | drum n bass | atmospheric drum and bass | british | dubstep
Bentley Rhythm Ace,big beat | breakbeat | electronic | trip-hop | electronica | funky breaks | dance | england | british | all
Uberzone,breakbeat | electronic | techno | breaks | electronica | big beat | electro | all | badass | american
The Future Sound Of London,ambient | electronic | idm | chillout | electronica | experimental | techno | downtempo | ambient techno | british
Lionrock,big beat | electronic | trip-hop | house | electronica | breakbeat | british | techno | funky breaks | england
The Brainkiller,breaks | breakbeat | trance | progressive breaks
OnDaMiKe,miami bass
Drumattic Twins,breakbeat | breaks | electronic | breakbeats | dance | nu breaks | nu skool breaks | big beat | funk | new disco
Suga7,
Meat Katie,breakbeat | electronic | breaks | house | electro | tech-funk | electronica | funky breaks | progressive house | united kingdom
Tayo,breaks | breakbeat | nu skool breaks | uk | better than dubstep | spotify | chill house
Freq Nasty,breakbeat | breaks | electronic | ninja tune | dubstep | electronica | grime | rhastabass | dance | dub
Deibeat,breakbeat | dubstep | need to rate | psybreaks
Paul Hartnoll,electronic | idm | electronica | breaks | orbital | experimental | british | instrumental | vocal house | breakbeat
Hardknox,big beat | breakbeat | electronic | techno | electronica | british | aggressive | uk | jungle | trip-hop
Digital Base,breakbeat | breaks | russian | electronic | beat | eurodance
Curtis B,breakbeat | breaks | electro | electronic | electronica | progressive breaks
Rob Le Pitch,breakbeat | breaks | totec radio | electronic
Guau,dubstep | electronic | experimental | breaks | drum n bass | beat | electro breaks
Elite Force,breakbeat | electronic | breaks | electro | electronica | big beat | british | uk | rave | tech-funk
Splitloop,breakbeat | breaks | electronic | nu skool breaks | electro | 77davez-artists | dance | p0531d0ns selection | chris anderson | irish
The Rogue Element,breakbeat | breaks | electronic | electronica | dance | electro | idm | nu-bluz | electronic-lounge | dead drummers
Left/Right,house | electronic | remix | bass | boom | breaks | breakbeat
Mint Royale,electronic | dance | big beat | house | electronica | british | electro | trip-hop | uk | chillout
JDS,breakbeat | breaks | electronic | happy hardcore | dance | soul | funk | electro | british
Baobinga,breakbeat | dubstep | electronic | bristol | breaks | electronica | bass | england | ukgarage | all
DJ Mutiny,breaks | liquid | breakbeats | breakbeat | full-on | nu skool breaks | 77davez-lib | 77davez-artists
ED209,breakbeat | breaks | nu skool breaks | electro | shauns radio
Cut La Roc,big beat | breakbeat | electronic | turntablism | electronica | england | british | breaks | dub | hip hop
Nick Thayer,breakbeat | hip-hop | funky breaks | electronic | nu skool breaks | dubstep | all | house | new | electro house
Stone Lions,breakbeat | canadian | electronic | shauns radio | pop punk | progressive | work | future garage | lesser known yet streamable artists | progressive breaks
Break The Box,breakbeat | breaks | dance | electronic | kickass | electronica | lesser known yet streamable artists | mixmag download | mixm | 77davez-lib
Lady Waks,breaks | breakbeat | minimal | electronic | electronica | female dj | russian | zaebal minimal | queen of breaks | mix
my little airport,indie pop | indie | twee | chinese | hong kong | twee pop | female vocalists | pop | chinese indie | cantonese
Eason Chan,hong kong | chinese | pop | cantonese | c-pop | cantopop | male vocalists | cpop | eason chan | eason
MC 張天賦,rnb | hong kong | c-pop | pop | hongkongese | cantopop
Karen Mok,chinese | pop | hong kong | c-pop | female vocalists | karen mok | asian | cpop | cantonese | all
Kay Tse,cantonese | hong kong | c-pop | female vocalists | pop | chinese | kay tse | all | cantopop | asian
Ekin Cheng,c-pop | chinese | all | pop | hong kong | chill906 | cantopop
Faye Wong,chinese | pop | female vocalists | c-pop | asian | dream pop | china | mandopop | hong kong | alternative
Leo Ku,cantonese | chinese | c-pop | hong kong | pop | male vocalists | all | irresistible | cpop | asian
Beyond,death metal | rock | hardcore | chinese | hong kong | thrash metal | german | cantonese | old school death metal | nyhc
Kelly Chen,chinese | hong kong | c-pop | female vocalists | cantonese | pop | asian | cpop | cantopop | asian pop
William So,cantonese | chinese | hong kong | male vocalist | pop | cantopop | singer-songwriter | 90s | vocal | male
Jordan Chan,chinese | c-pop | cantonese | hong kong | pop | cpop | male vocalists | r&b | asian | hip hop
Andy Hui,chinese | cantonese | c-pop | pop | hong kong | male vocalists | all | male | asian | china
Wilfred Lau,pop | chinese | c-pop | all | cpop | male vocalists | asian | spotify
Leslie Cheung,c-pop | hong kong | chinese | cantopop | hk-pop | leslie cheung | pop | spotify | queer | soundtrack
Leon Lai,c-pop | chinese | pop | chinese pop | hong kong | cantonese | male vocalists | leon lai | cantopop | born in beijing
Juno Mak,hong kong | all | dark | pop | cantonese | lounge | indie | singer-songwriter | chinese | electronic
Dear Jane,chinese | rock | hong kong | all | punk | alternative rock | alternative | pop punk | pop rock | punk rock
Khalil Fong,soul | hong kong | rnb | chinese | pop | r&b | c-pop | male vocalists | singer-songwriter | rhythm and blues
Candy Lo,c-pop | chinese | pop | cantonese | hong kong | female vocalists | asian | alternative | cantopop | experiment
Shirley Kwan,hong kong | pop | cantopop | chinese | female vocalists | c-pop | china | cantonese | female vocalist | singer-songwriter
Jason Chan,experimental | indie | minimalist | electronic | minimalism | hong kong | chinese | the crucible | peoples republic of china | shanghai
Miriam Yeung,hong kong | chinese | c-pop | pop | cantonese | female vocalists | cantopop | miriam | asian | female
Yoyo Sham,china
Edmond Leung,cantonese | hong kong | c-pop | chinese | pop | soft rock | singer-songwriter | 90s | male vocalists | 00s
AGA,female vocalists | c-pop | hong kong | pop | asian pop | asian | rnb | cpop | chinese female vocalists | all
Phil Lam,
Shiga Lin,chinese | c-pop | female vocalists | china | cpop | chine | asian | shiga lin
Denise Ho,cantonese | hong kong | chinese | female vocalists | pop | c-pop | cantopop | hocc | singer-songwriter | asian
李龍基,cantonese
Roman Tam,pop | hong kong | chinese | china | under 2000 listeners | cantonese | c-pop
HANA,ambient | downtempo | electronic | pop | indie pop | j-pop | indie | american | female vocalists | usa
Vivian Chow,pop | chinese | female vocalists | cantonese | cantopop | c-pop | asian | cpop | hongkong | hong kong
Byejack,
Hins Cheung,c-pop | pop | hong kong | love | soul | chinese | asian | male vocalists | cantopop | lesser known yet streamable artists
Ivana Wong,hong kong | female vocalists | cantonese | pop | chinese | c-pop | singer-songwriter | cantopop | ivana wong | alternative
Terence Lam,cantopop | pop | cantonese | c-pop | hong kong
Vivian Lai,chinese | pop | female vocalists | c-pop | cpop | female vocalist | asian | cantopop | ballads | female vocals
Kary Ng,chinese | all | c-pop | hong kong | female vocalists | cantopop | pop | cpop | cantonese | female
Mavis Hee,singapore | c-pop | singaporean | singaporean chinese
JC 陳詠桐,china
Priscilla Chan,chinese | cantopop | cantonese | female | hk-pop | hk | pop | female vocalists | synthpop | soundtrack
Jacky Cheung,chinese | pop | c-pop | cantonese | hong kong | male vocalists | cpop | cantopop | asian | jacky cheung
Fiona Sit,hong kong | chinese | female vocalists | pop | cantonese | c-pop | cpop | asian pop | cantopop | asian
Serrini,indie pop | cpop | hong kong | cantopop
Sita Chan,female vocalist | chinese
Hacken Lee,chinese | cantonese | hong kong | c-pop | cpop | all | pop | male vocalists | asian | hacken lee
George Lam,chinese | cantopop | kung-fu
彭家麗,
Christopher Wong,soundtrack | contemporary classical | composer
新青年理髮廳,hong kong | indie
Anthony Wong,pop | hong kong | cantopop | china | cantonese | c-pop | male vocalist | lgbtq | lgbt
Cass Phang,hong kong | chinese | female vocalists | c-pop | cantonese | asian | hk | cass phang | now ten | cpop
Kaho Hung,pop | singer-songwriter | c-pop | hong kong | cantopop
Andy Lau,chinese | cantonese | c-pop | pop | hong kong | cpop | asian | cantopop | male vocalists | asian pop
林姍姍,
Mr.,pop rock | hong kong | c-pop | chinese | cantopop | cantonese | pop | band | rock | hk pop
Keeva Mak,
Joey Yung,c-pop | chinese | pop | cpop | female vocalists | hong kong | asian | cantonese | female | cantopop
C AllStar,all | cantonese | pop | chillout | acid jazz | jazzy | nu jazz | cpop | hong kong | bossa nova
陳美玲,
Johnny Ip,cantonese | mandopop
Sandy Lam,chinese | hong kong | pop | female vocalists | c-pop | cantonese | cpop | female | female vocalist | chinese female vocalists
Daniel Chan,pop | chinese | hong kong | c-pop | cantonese | taiwan | china
Jay Fung,chinese | canadian | c-pop | pop | the voice | hong kong
Aaron Kwok,chinese | c-pop | cantonese | hong kong | cpop | sexx | asian | male vocalists | all | pop
Twins,c-pop | chinese | cantopop | cpop | cantonese | hong kong | pop | female vocalists | asian | screamo
Dicky Cheung,all | drama | hongkong | international | hk-pop | spotify
Danny Chan,hong kong | cantonese | pop | chinese | cantopop | male | 80s | hk-pop | c-pop | all
Jinny Ng,female vocalist | chinese | cantopop
Shawn Yue,c-pop | hong kong | pop | chinese | male vocalists | cantopop | asian | male vocalist | canto pop | canto-pop
陳健安,hong kong | cantopop
Prudence Liew,cantopop | female vocalist | mandopop | hong kong | hongkongese
陳卓賢 Ian,c-pop | pop | hong kong | cantopop | mirror
Kenny Bee,hong kong | cantopop | mandopop | hongkongese | hong kongese | hong kong english pop
Sammi Cheng,chinese | c-pop | hong kong | pop | cantonese | female vocalists | cpop | hk pop | all | cantopop
李炳文,
Janice Vidal,hong kong | chinese | c-pop | pop | female vocalists | cantopop | female vocalist | asian pop | asian | asian music
Deanie Ip,hong kong | chinese | female vocalist | pop | spotify | chinese female vocal | cantopop
Adam Cheng,cantonese | chinese | adam cheng
Edan 呂爵安,c-pop | hong kong | cantopop | pop | mirror
Tat Ming Pair,hong kong | pop | cantonese | cantopop | new wave | synthpop | chinese | queer | c-pop | duo
Ronald Cheng,c-pop | pop | all | chinese | male vocalists | asian | lesser known yet streamable artists | spotify
Justin Lo,all | male | cpop | c-pop | cantonese | mandarin | hong kong | hk pop | chineseandcantonese | canto-pop
Alan Tam,cantonese | chinese | pop | male vocalists | hong kong | cpop | 80s | c-pop | cantopop | asian
Swing,hip-hop | rap | pop | hip hop | rap belge | funk | belgium | french rap | underground hip-hop | belgian rap
Kevin Cheng,
Fred Cheng,
Stephanie Cheng,hong kong | c-pop | chinese | female vocalists | cantonese | pop | asian | stephanie cheng | cpop | all
2R,drum and bass | pop | female vocalists | c-pop | dnb | chinese | asian | drum n bass | electro | electronic
Grasshopper,drone | chinese | hong kong | all | noise | grunge | indie | pop | synthpop | hip hop
Pakho Chau,cantopop | pop | c-pop | singer-songwriter | male vocalists | hong kong
Gin Lee,pop | c-pop | malaysia | hong kong | malaysian | cantopop | female vocalists | cpop | chinese pop | asian
Jace Chan,hongkong | hong kong
陳潔玲,hongkongese | hong kong | hong kongese
Hubert Wu,hong kong
Jenny Tseng,asia | pop | cantonese | hong kong | mandopop | cantopop
Sam Hui,cantonese | hong kong | chinese | 80s | 70s | pop | cantopop | sam hui | blue | pop rock
Vincent Wong,
Michael Kwan,seattle | usa | hongkongese | united states | hong kongese | born in hong kong
Endy Chow,need to rate | singer-songwriter | cantonese | hong kong | c-rock | punk | rock | cpop | c-pop | now ten
Deep Ng,hk pop | canto-pop
Keung To,hong kong | pop | c-pop | mirror | hongkongese
陳秀雯,hong kong | china
Sally Yeh,cantonese | hong kong | pop | chinese | c-pop | female vocalists | 90s | vancouver | all | asian
潘安邦,taiwan | taiwanese
麗莎,cantonese | chinese
Terence Siufay,c-pop | pop | hong kong | cantopop | macau
姚蘇蓉,60s pop | oldies | taiwan | c-pop | mandopop | taiwanese pop | taiwanese
Kelvin Kwan,
The Hertz,hong kong | rock | indie pop | indie | hk-pop | indie rock | cantopop | chinese funk | hong kong indie
梁釗峰,
陳秋霞,female vocalists | chinese | female vocals | pop | cpop | c-pop | asian | chinese pop | hong kong | cantopop
張偉文,
Chilam,hongkongese | hong kong | hong kongese
Eddie Ng,hong kong
Alfred Hui,cantonese | chinese | hong kong | kongkongese
Anita Mui,hong kong | chinese | cantonese | pop | cantopop | hk-pop | female vocalists | c-pop | 80s | china
Paula Tsui,pop | chinese | spotify | cantopop
Kayee Tam,
Eman Lam,hong kong
張德蘭,pop | classic | female
Raymond Lam,c-pop | cantonese | pop | chinese | hong kong | male | china | hk-pop | hk pop | male vocalists
盧業瑂,
Stephy Tang,hong kong | c-pop | cantonese | chinese | cantopop | pop | asian | cpop | asian pop | chinese pop
蔡楓華,hong kong | 80s | canton pop | chinese
Agnes Chiang,chinese female vocal | chinese
Samantha Lam,samantha lam | cantopop | chinese female vocal
ToNick,punk | rock | pop punk | pop rock | canton | band sound | hong kong
Alex To,all | chinese | taiwan | c-pop | hk-pop | spotify | born in hong kong
Vivian Koo,c-pop | pop | hong kong
倫永亮,
Lowell Lo,classic | chinese | hongkongese | hong kong | hong kongese
曾路得,
Tai Chi,meditation | world | tai chi 2 | ambient | world music | tai chi | none | ethnic | meditative
蔡國權,great | chinese | male vocalists | 80s | 5054 | cantonese | 1953 | chinese male vocal
朱咪咪,
Panther Chan,cantopop | hong kong | c-pop | chinese | female vocalist | pop | china | cantonese
郭小霖,cantonese | hong kong
Adason Lo,cpop | c-pop
ONE PROMISE,pop | rock | hong kong | cantopop
Supper Moment,hong kong | all | soft rock | rock | indie rock | indie | post rock | progressive rock | hard rock | pop rock
陳浩德,
Wynners,
Edwin Siu,
Stephanie Ho,
Zpecial,c-pop | pop | hong kong | cantopop
湯寶如,chinese | pop | female vocalist | 90s | hong kong | female vocalists | female vocals | cpop | c-pop | asian
黃敏華,
吳林峰,
Bowie Lam,cantonese | c-pop | hongkong | hong kong
Linda Chung,c-pop | chinese | female vocalists | pop | ballads | asian | ballad | cpop | hong kong | cantopop
Jer 柳應廷,c-pop | hong kong | cantopop | chinese | pop | mirror
文章,pop | chinese
At17,hong kong | chinese | indie pop | indie | chinese indie | all | female vocalist | cantonese | singer-songwriter | folk
Shine,trip-hop | doom metal | pop | ambient | stoner metal | alternative | stoner | stoner doom | doom | chillout
曲奇,hong kong
Tang Siu Hau,pop | ambient | acoustic | chinese | female vocalists | hong kong | electro | rutracker | 4 | cantopop
林淑容,chinese | folk
